filename,cleanup content,directory,cluster
12440188_1.txt,hssfeventfactory factory new hssfeventfactory factory processevents req din,HSSFEventFactory,1.0
68613461_1.txt,hssfeventfactory factory new hssfeventfactory factory processworkbookevents request fs,HSSFEventFactory,1.0
15642598_1.txt,hssfeventfactory factory new hssfeventfactory factory processevents req din,HSSFEventFactory,1.0
12440192_1.txt,hssfeventfactory factory new hssfeventfactory factory processevents req din,HSSFEventFactory,1.0
92669291_1.txt,hssfeventfactory factory new hssfeventfactory factory processevents req dis,HSSFEventFactory,1.0
12440044_1.txt,hssfeventfactory factory new hssfeventfactory factory processevents req dis,HSSFEventFactory,1.0
111785559_1.txt,hssfeventfactory eventfactory new hssfeventfactory eventfactory processevents hssfrequest documentinputstream,HSSFEventFactory,2.0
112311786_1.txt,final hssfpatriarch patr this getdrawingpatriarch final hssfcomment comment patr createcomment anchor,HSSFPatriarch,4.0
73315299_2.txt,hssfpatriarch patriarch sheet createdrawingpatriarch hssfcomment comment patriarch createcomment new hssfclientanchor 0 0 0 0 short 4 2 short 6 5 patriarch createpicture anchor workbook addpicture bsvalue hssfworkbook picture type jpeg,HSSFPatriarch,2.0
73315299_1.txt,hssfpatriarch patriarch sheet createdrawingpatriarch hssfcomment comment patriarch createcomment new hssfclientanchor 0 0 0 0 short 4 2 short 6 5,HSSFPatriarch,2.0
94171992_1.txt,private hssfpatriarch patriarch null patriarch createpicture anchor wb addpicture bytearrayout tobytearray hssfworkbook picture type jpeg,HSSFPatriarch,1.0
61719045_1.txt,hssfpatriarch patriarch sheet createdrawingpatriarch patriarch createpicture anchor pictureindex,HSSFPatriarch,2.0
15642330_1.txt,hssfpatriarch patriarch escherbserecord bse escherbserecord patriarch sheet book getbserecord pictureindex,HSSFPatriarch,2.0
558689_1.txt,hssfpatriarch patr hssfsheet sheet createdrawingpatriarch comment comment patr createcomment new hssfclientanchor 0 0 0 0 short 4 2 short 8 10,HSSFPatriarch,2.0
133035254_1.txt,hssfpatriarch patriarch sheet createdrawingpatriarch patriarch createpicture anchor pictureindex,HSSFPatriarch,2.0
